Timestamp	Sample Time	AI0	AI1	AI2	AI3	AI4	AI5	AI6	AI7
07/09/2022 10:51:26.8	61.000	1.074	2.046	0.879	2.222	1.865	0.000	0.000	0.000
07/09/2022 10:51:27.8	62.000	0.977	2.007	0.952	2.114	1.963	0.000	0.000	0.000
07/09/2022 10:51:28.8	63.000	1.084	1.929	0.884	2.012	1.929	0.000	0.000	0.000
07/09/2022 10:51:29.8	64.000	1.045	2.012	0.874	1.987	1.938	0.000	0.000	0.000
07/09/2022 10:51:30.8	65.000	1.055	1.831	0.884	2.031	2.021	0.000	0.000	0.000
07/09/2022 10:51:31.8	66.000	1.025	1.782	0.840	2.007	2.002	0.000	0.000	0.000
07/09/2022 10:51:32.8	67.000	0.986	1.826	0.889	2.085	1.919	0.000	0.000	0.000
07/09/2022 10:51:33.8	68.000	1.006	1.704	0.845	1.792	2.046	0.000	0.000	0.000
07/09/2022 10:51:34.8	69.000	1.001	1.694	0.825	1.938	1.934	0.000	0.000	0.000
07/09/2022 10:51:35.8	70.000	1.011	1.592	0.825	1.963	2.017	0.000	0.000	0.000
07/09/2022 10:51:36.8	71.000	0.947	1.670	0.801	1.924	2.026	0.000	0.000	0.000
07/09/2022 10:51:37.8	72.000	0.977	1.572	0.796	2.041	2.031	0.000	0.000	0.000
07/09/2022 10:51:38.8	73.000	0.962	1.558	0.776	1.909	2.036	0.000	0.000	0.000
07/09/2022 10:51:39.8	74.000	0.913	1.606	0.771	1.860	2.031	0.000	0.000	0.000
07/09/2022 10:51:40.8	75.000	0.830	1.753	0.732	1.953	2.036	0.000	0.000	0.000
07/09/2022 10:51:41.8	76.000	0.937	1.562	0.845	1.895	1.982	0.000	0.000	0.000
07/09/2022 10:51:42.8	77.000	0.923	1.494	0.732	1.846	2.041	0.000	0.000	0.000
07/09/2022 10:51:43.8	78.000	0.845	1.504	0.781	1.802	2.002	0.000	0.000	0.000
07/09/2022 10:51:44.8	79.000	0.815	1.577	0.806	1.782	1.982	0.000	0.000	0.000
07/09/2022 10:51:45.8	80.000	0.923	1.353	0.737	1.807	1.968	0.000	0.000	0.000
07/09/2022 10:51:46.8	81.000	0.903	1.411	0.767	1.709	2.002	0.000	0.000	0.000
07/09/2022 10:51:47.8	82.000	0.942	1.348	0.688	1.812	2.061	0.000	0.000	0.000
07/09/2022 10:51:48.8	83.000	0.967	1.504	0.747	1.748	1.934	0.000	0.000	0.000
07/09/2022 10:51:49.8	84.000	0.869	1.470	0.771	1.729	2.012	0.000	0.000	0.000
07/09/2022 10:51:50.8	85.000	0.869	1.348	0.786	1.875	1.807	0.000	0.000	0.000
07/09/2022 10:51:51.8	86.000	0.923	1.294	0.786	1.665	1.978	0.000	0.000	0.000
07/09/2022 10:51:52.8	87.000	0.869	1.182	0.781	1.602	1.982	0.000	0.000	0.000
07/09/2022 10:51:53.8	88.000	0.913	1.240	0.791	1.626	1.880	0.000	0.000	0.000
07/09/2022 10:51:54.8	89.000	0.825	1.206	0.757	1.729	1.938	0.000	0.000	0.000
07/09/2022 10:51:55.8	90.000	0.737	1.104	0.801	1.567	1.904	0.000	0.000	0.000
07/09/2022 10:51:56.8	91.000	0.859	1.216	0.747	1.597	1.924	0.000	0.000	0.000
07/09/2022 10:51:57.8	92.000	0.811	1.196	0.801	1.641	1.899	0.000	0.000	0.000
07/09/2022 10:51:58.8	93.000	0.830	1.074	0.732	1.392	1.846	0.000	0.000	0.000
07/09/2022 10:51:59.8	94.000	0.840	1.152	0.771	1.465	1.851	0.000	0.000	0.000
07/09/2022 10:52:00.8	95.000	0.854	1.099	0.737	1.616	1.904	0.000	0.000	0.000
07/09/2022 10:52:01.8	96.000	0.757	1.196	0.708	1.577	1.880	0.000	0.000	0.000
07/09/2022 10:52:02.8	97.000	0.845	0.996	0.732	1.484	1.665	0.000	0.000	0.000
07/09/2022 10:52:03.8	98.000	0.845	1.138	0.757	1.445	1.821	0.000	0.000	0.000
07/09/2022 10:52:04.8	99.000	0.884	1.104	0.742	1.558	1.719	0.000	0.000	0.000
07/09/2022 10:52:05.8	100.000	0.859	1.084	0.796	1.230	1.777	0.000	0.000	0.000
07/09/2022 10:52:06.8	101.000	0.864	1.113	0.605	1.343	1.763	0.000	0.000	0.000
07/09/2022 10:52:07.8	102.000	0.854	1.177	0.679	1.548	1.758	0.000	0.000	0.000
07/09/2022 10:52:08.8	103.000	0.874	1.094	0.781	1.328	1.821	0.000	0.000	0.000
07/09/2022 10:52:09.8	104.000	0.815	0.898	0.850	1.348	1.729	0.000	0.000	0.000
07/09/2022 10:52:10.8	105.000	0.703	1.030	0.747	1.313	1.694	0.000	0.000	0.000
07/09/2022 10:52:11.8	106.000	0.859	1.001	0.771	1.313	1.709	0.000	0.000	0.000
07/09/2022 10:52:12.8	107.000	0.654	1.006	0.786	1.309	1.660	0.000	0.000	0.000
07/09/2022 10:52:13.8	108.000	0.854	1.147	0.723	1.313	1.597	0.000	0.000	0.000
07/09/2022 10:52:14.8	109.000	0.771	1.016	0.752	1.323	1.626	0.000	0.000	0.000
07/09/2022 10:52:15.8	110.000	0.791	1.025	0.776	1.294	1.655	0.000	0.000	0.000
07/09/2022 10:52:16.8	111.000	0.825	0.962	0.718	1.294	1.558	0.000	0.000	0.000
07/09/2022 10:52:17.8	112.000	0.815	0.962	0.640	1.226	1.562	0.000	0.000	0.000
07/09/2022 10:52:18.8	113.000	0.825	0.981	0.732	1.260	1.558	0.000	0.000	0.000
07/09/2022 10:52:19.8	114.000	0.825	0.898	0.986	1.162	1.548	0.000	0.000	0.000
07/09/2022 10:52:20.8	115.000	0.801	0.928	0.762	1.089	1.470	0.000	0.000	0.000
07/09/2022 10:52:21.8	116.000	0.820	0.967	0.757	1.338	1.504	0.000	0.000	0.000
07/09/2022 10:52:22.8	117.000	0.820	0.991	0.747	1.211	1.548	0.000	0.000	0.000
07/09/2022 10:52:23.8	118.000	0.815	0.903	0.840	1.201	1.533	0.000	0.000	0.000
07/09/2022 10:52:24.8	119.000	0.879	0.942	0.757	1.406	1.504	0.000	0.000	0.000
07/09/2022 10:52:25.8	120.000	0.840	0.986	0.747	1.274	1.499	0.000	0.000	0.000
07/09/2022 10:52:26.8	121.000	0.977	0.918	0.786	1.113	1.470	0.000	0.000	0.000
07/09/2022 10:52:27.8	122.000	0.791	0.947	0.786	1.074	1.426	0.000	0.000	0.000
07/09/2022 10:52:28.8	123.000	0.820	0.937	0.757	1.025	1.440	0.000	0.000	0.000
07/09/2022 10:52:29.8	124.000	0.825	0.913	0.747	1.099	1.519	0.000	0.000	0.000
07/09/2022 10:52:30.8	125.000	0.801	0.923	0.718	1.001	1.372	0.000	0.000	0.000
07/09/2022 10:52:31.8	126.000	0.874	0.864	0.776	1.055	1.382	0.000	0.000	0.000
07/09/2022 10:52:32.8	127.000	0.937	0.918	0.757	0.996	1.392	0.000	0.000	0.000
07/09/2022 10:52:33.8	128.000	0.708	0.918	0.723	1.328	1.382	0.000	0.000	0.000
07/09/2022 10:52:34.8	129.000	0.820	0.830	0.771	1.025	1.313	0.000	0.000	0.000
07/09/2022 10:52:35.8	130.000	0.830	0.937	0.757	1.035	1.387	0.000	0.000	0.000
07/09/2022 10:52:36.8	131.000	0.820	0.874	0.742	1.084	1.343	0.000	0.000	0.000
07/09/2022 10:52:37.8	132.000	0.869	1.001	0.767	1.006	1.313	0.000	0.000	0.000
